#,Team,Points,,Position
1,Germany,1533,,-
2,Brazil,1384,,-
3,Belgium,1346,Previous rank: 5,2
4,Portugal,1306,Previous rank: 3,-1
5,Argentina,1254,Previous rank: 4,-1
6,Switzerland,1179,Previous rank: 8,2
7,France,1166,Previous rank: 9,2
8,Spain,1162,Previous rank: 7,-1
9,Chile,1146,Previous rank: 10,1
10,Poland,1118,Previous rank: 6,-4
11,Peru,1106,,-
12,Denmark,1054,,-
13,England,1040,Previous rank: 16,3
14,Tunisia,1012,Previous rank: 23,9
15,Mexico,1008,Previous rank: 17,2
16,Colombia,989,Previous rank: 13,-3
17,Uruguay,976,Previous rank: 22,5
18,Croatia,975,Previous rank: 15,-3
19,Netherlands,969,Previous rank: 21,2
20,Italy,947,Previous rank: 14,-6
21,Wales,931,Previous rank: 20,-1
22,Iceland,930,Previous rank: 18,-4
23,Sweden,889,Previous rank: 19,-4
24,United States,880,Previous rank: 25,1
25,Costa Rica,858,Previous rank: 26,1
26,Austria,841,Previous rank: 28,2
27,Northern Ireland,837,Previous rank: 24,-3
28,Senegal,825,Previous rank: 27,-1
29,Slovakia,786,,-
30,Ukraine,777,Previous rank: 35,5
31,Republic of Ireland,776,,-
32,Romania,737,Previous rank: 36,4
33,Paraguay,737,Previous rank: 30,-3
34,Scotland,735,Previous rank: 32,-2
35,Serbia,732,Previous rank: 34,-1
36,Iran,727,Previous rank: 33,-3
37,Turkey,714,Previous rank: 38,1
38,Congo DR,711,Previous rank: 39,1
39,Venezuela,709,Previous rank: 48,9
40,Australia,700,Previous rank: 37,-3
41,Bosnia-Herzegovina,688,,-
42,Morocco,681,,-
43,Montenegro,671,Previous rank: 46,3
44,Greece,657,Previous rank: 45,1
45,Czech Republic,647,Previous rank: 43,-2
46,Egypt,636,Previous rank: 44,-2
47,Nigeria,635,Previous rank: 52,5
48,Jamaica,612,Previous rank: 49,1
49,Norway,608,Previous rank: 57,8
50,Hungary,604,,-
51,Cameroon,603,,-
52,Ghana,603,Previous rank: 54,2
53,Burkina Faso,591,Previous rank: 56,3
54,Bulgaria,583,Previous rank: 40,-14
55,Panama,575,Previous rank: 53,-2
56,Albania,549,Previous rank: 58,2
57,Bolivia,548,Previous rank: 47,-10
58,Cape Verde Islands,545,Previous rank: 61,3
59,Honduras,530,Previous rank: 64,5
60,Japan,528,Previous rank: 55,-5
61,Korea Republic,520,Previous rank: 59,-2
62,Algeria,516,Previous rank: 60,-2
63,Finland,507,Previous rank: 68,5
